Knight,23.185769917818142
Archers,5.074952774482276
Goblins,1.3142071112576446
Giant,5.517345750243898
P.E.K.K.A,10.536627814276024
Minions,6.584007372315442
Balloon,16.706618058389385
Witch,1.7144416849308035
Barbarians,8.016852550988695
Golem,12.74210678507052
Skeletons,14.998121789137725
Valkyrie,8.942715919931466
Skeleton Army,10.483389319330978
Bomber,3.8988414546810692
Musketeer,11.143330459715756
Baby Dragon,22.340439906711023
Prince,7.639588901530405
Wizard,3.56589817664911
Mini P.E.K.K.A,10.589325816886602
Spear Goblins,7.649317763550818
Giant Skeleton,4.6433696454100035
Hog Rider,9.83560925647172
Minion Horde,3.918028932554664
Ice Wizard,10.02234935803023
Royal Giant,5.264395337713123
Guards,2.0398180702802184
Princess,9.02919469344626
Dark Prince,11.55410463391103
Three Musketeers,1.0307188818294586
Lava Hound,7.570676128885802
Ice Spirit,9.266200582110244
Fire Spirits,1.0623376833958051
Miner,16.014247377936563
Sparky,4.080446879062138
Bowler,2.6232795453378484
Lumberjack,10.003702372491102
Battle Ram,6.2548475406247555
Inferno Dragon,12.980463904570675
Ice Golem,6.809933168122844
Mega Minion,14.603021892642007
Dart Goblin,4.822813100453203
Goblin Gang,12.421865076898547
Electro Wizard,15.862369031951204
Elite Barbarians,1.2709677245002473
Hunter,11.007126391429955
Executioner,3.024324857512708
Bandit,10.192334197220248
Royal Recruits,2.605443298300422
Night Witch,13.319893090616242
Bats,14.79651814838136
Royal Ghost,6.010004513110992
Ram Rider,2.532747079314548
Zappies,4.566079241581156
Rascals,1.7557893485175649
Cannon Cart,5.619498801458248
Mega Knight,8.128734464223461
Skeleton Barrel,8.66220039834285
Flying Machine,5.02820018755084
Wall Breakers,3.1289101242321626
Royal Hogs,3.8780324998040716
Goblin Giant,2.264662881418684
Fisherman,4.406634002913254
Magic Archer,6.849659354706201
Electro Dragon,4.946856091213486
Firecracker,4.235568179054301
Elixir Golem,2.1284588131328825
Battle Healer,2.0327916699321413
Skeleton Dragons,6.970729637626914
Mother Witch,1.0458526671945476
Electro Spirit,3.387535706274846
Electro Giant,0.7483116370702073
Cannon,2.014955422894715
Goblin Hut,3.34078311934341
Mortar,3.5456297141065796
Inferno Tower,6.196204122335034
Bomb Tower,9.503206470774227
Barbarian Hut,1.661203189985758
Tesla,7.023427640237492
Elixir Collector,1.7525463945107598
X-Bow,3.3361889345004365
Tombstone,2.788670199684893
Furnace,2.1111630584299235
Goblin Cage,6.58887180332565
Fireball,22.72310847951399
Arrows,18.758056713860654
Rage,3.7442606470233737
Rocket,8.914880564706392
Goblin Barrel,10.554734307480684
Freeze,4.497706961271022
Mirror,0.8158731788786405
Lightning,12.202425189104755
Zap,28.489891442114622
Poison,15.063251115441057
Graveyard,9.311331692038276
The Log,28.049930681858104
Tornado,24.00164309669678
Clone,2.545718895341767
Earthquake,5.463837009131618
Barbarian Barrel,24.9150751419468
Heal Spirit,1.7771387957290294
Giant Snowball,7.788494539676191
Royal Delivery,1.6182340493955945
